Channel,EventID,EventTitle
Microsoft-Windows-Sysmon/Operational,1,Process Creation
Microsoft-Windows-Sysmon/Operational,2,File Creation Timestamp Changed (Possible Timestomping)
Microsoft-Windows-Sysmon/Operational,3,Network Connection
Microsoft-Windows-Sysmon/Operational,4,Sysmon Service State Changed
Microsoft-Windows-Sysmon/Operational,5,Process Terminated
Microsoft-Windows-Sysmon/Operational,6,Driver Loaded
Microsoft-Windows-Sysmon/Operational,7,Image Loaded
Microsoft-Windows-Sysmon/Operational,8,Remote Thread Created (Possible Code Injection)
Microsoft-Windows-Sysmon/Operational,9,Raw Access Read
Microsoft-Windows-Sysmon/Operational,10,Process Access
Microsoft-Windows-Sysmon/Operational,11,File Creation or Overwrite
Microsoft-Windows-Sysmon/Operational,12,Registry Object Created/Deletion
Microsoft-Windows-Sysmon/Operational,13,Registry Value Set
Microsoft-Windows-Sysmon/Operational,14,Registry Key or Value Rename
Microsoft-Windows-Sysmon/Operational,15,Alternate Data Stream Created
Microsoft-Windows-Sysmon/Operational,16,Sysmon Service Configuration Changed
Microsoft-Windows-Sysmon/Operational,17,Named Pipe Created
Microsoft-Windows-Sysmon/Operational,18,Named Pipe Connection
Microsoft-Windows-Sysmon/Operational,19,WmiEventFilter Activity
Microsoft-Windows-Sysmon/Operational,20,WmiEventConsumer Activity
Microsoft-Windows-Sysmon/Operational,21,WmiEventConsumerToFilter Activity
Microsoft-Windows-Sysmon/Operational,22,DNS Query
Microsoft-Windows-Sysmon/Operational,23,Deleted File Archived
Microsoft-Windows-Sysmon/Operational,24,Clipboard Changed
Microsoft-Windows-Sysmon/Operational,25,Process Tampering (Possible Process Hollowing or Herpaderping)
Microsoft-Windows-Sysmon/Operational,26,File Deleted
Microsoft-Windows-Sysmon/Operational,27,Executable File Write Blocked
Microsoft-Windows-Sysmon/Operational,255,Sysmon Error
Microsoft-Windows-PowerShell/Operational,4103,Module logging - Executing Pipeline
Microsoft-Windows-PowerShell/Operational,4104,Script Block Logging
Microsoft-Windows-PowerShell/Operational,4105,CommandStart started
Microsoft-Windows-PowerShell/Operational,4106,CommandStart stopped
Security,1100,Event logging service shutdown
Security,1101,Audit events dropped by transport
Security,1102,Audit log cleared
Security,1104,Security log is full
Security,1105,Event log automatic backup
Security,1108,Event logging service error
Security,4608,Windows startup
Security,4609,Windows shutdown
Security,4610,LSA loaded an authentication package
Security,4611,A trusted logon process has been registered with the Local Security Authority
Security,4612,Audit message queuing resoures exhausted (Possible loss of logs)
Security,4614,LSA loaded notification package
Security,4615,Invalid use of LPC port
Security,4616,System time changed
Security,4618,A monitored security event pattern has occurred
Security,4621,Administrator recovered system from CrashOnAuditFail
Security,4622,LSA loaded security package
Security,4624,Logon success
Security,4625,Logon failure
Security,4634,Account logoff
Security,4646,IKE DoS-prevention mode started
Security,4647,User initiated logoff
Security,4648,Explicit logon
Security,4649,Replay attack was detected
Security,4650,An IPsec Main Mode security association was established
Security,4651,An IPsec Main Mode security association was established
Security,4652,An IPsec Main Mode negotiation failed
Security,4653,An IPsec Main Mode negotiation failed
Security,4654,An IPsec Quick Mode negotiation failed
Security,4655,An IPsec Main Mode security association ended
Security,4656,Object handle requested
Security,4657,Registry value modified
Security,4658,Object handle closed
Security,4659,Object handle requested with intent to delete
Security,4660,Object deleted
Security,4661,Object handle requested
Security,4662,Object operation performed
Security,4663,Object access attempt
Security,4664,Hard link creation attempt
Security,4665,Application client context creation attempt
Security,4666,Application attempted an operation
Security,4667,Application client context deleted
Security,4668,Application initialized
Security,4670,Object permissions changed
Security,4671,Application attempted to access a blocked ordinal through the TBS
Security,4672,Admin logon
Security,4673,Privileged service called
Security,4674,Privileged object operation attempt
Security,4675,SIDs filtered
Security,4685,Transaction state changed
Security,4688,Process created
Security,4689,Process exited
Security,4690,Object handle duplication attempt
Security,4691,Indirect access request to object
Security,4692,Backup of data protection master key attempt
Security,4693,Recovery of data protection master key attempt
Security,4694,Protection of auditable protected data attempt
Security,4695,Unprotection of auditable protected data attempt
Security,4696,Primary token assigned to process
Security,4697,Service installed
